...1,Song,lyric
1, (You're Better) Than Ever ,all my favorite socks are getting holes in them
2, (You're Better) Than Ever ,all my favorite people got a load on them
3, (You're Better) Than Ever ,but i heard
4, (You're Better) Than Ever ,that you feel better
5, (You're Better) Than Ever ,better than ever
6, (You're Better) Than Ever ,than ever
7, (You're Better) Than Ever ,all my jeans and hoodies smell like parliaments
8, (You're Better) Than Ever ,all i wanna do is sk8 back to yr bed
9, (You're Better) Than Ever ,'cause i heard
10, (You're Better) Than Ever ,that you got better
11, (You're Better) Than Ever ,better than ever
12, (You're Better) Than Ever ,than ever
13, (You're Better) Than Ever ,it's not to say that i'm unfortunate (ooh ooh)
14, (You're Better) Than Ever ,or that i haven't been succeeding (ahh ahh ahh ahhhh)
15, (You're Better) Than Ever ,but i'm a hushed and quiet resonance (ah ah ah)
16, (You're Better) Than Ever ,when i wanted to be screaming
17, (You're Better) Than Ever ,all the things i used to do are boring now
18, (You're Better) Than Ever ,all the baddest words i knew came pouring out
19, (You're Better) Than Ever ,when i heard
20, (You're Better) Than Ever ,that you feel better
21, (You're Better) Than Ever ,better than ever
22, (You're Better) Than Ever ,than ever
23, (You're Better) Than Ever ,it's not to say that i'm unfortunate (ooh ooh)
24, (You're Better) Than Ever ,or that i haven't been succeeding (ahh ahh ahh ahhhh)
25, (You're Better) Than Ever ,but i'm a hushed and quiet resonance (ah ah ah)
26, (You're Better) Than Ever ,when i wanted to be screaming
27, (You're Better) Than Ever ,ahhh!
28, (You're Better) Than Ever ,all day long i waited for my phone to ring
29, (You're Better) Than Ever ,i counted every glow star on my ceiling
30, (You're Better) Than Ever ,texted you a picture where you looked pretty and
31, (You're Better) Than Ever ,wondered if you saved the ones you had of me
32, (You're Better) Than Ever ,but i'm sure
33, (You're Better) Than Ever ,you must be better
34, (You're Better) Than Ever ,better than ever
35, (You're Better) Than Ever ,"oh, i'm sure"
36, (You're Better) Than Ever ,i could do better
44, Kiss Yr Frenemies ,your shortlist goes on and on
45, Kiss Yr Frenemies ,it's filled with things i couldn't do
46, Kiss Yr Frenemies ,i wanted to
47, Kiss Yr Frenemies ,i wanted anything you wanted
48, Kiss Yr Frenemies ,mostly a month is not such cogent time
49, Kiss Yr Frenemies ,a cycle framed by crescent moons
50, Kiss Yr Frenemies ,"so soft, so smooth"
51, Kiss Yr Frenemies ,you were the bold face and the shadow
59, (You're Better) Than Ever ,all my favorite socks are getting holes in them
60, (You're Better) Than Ever ,all my favorite people got a load on them
61, (You're Better) Than Ever ,but i heard
62, (You're Better) Than Ever ,that you feel better
63, (You're Better) Than Ever ,better than ever
64, (You're Better) Than Ever ,than ever
65, (You're Better) Than Ever ,all my jeans and hoodies smell like parliaments
66, (You're Better) Than Ever ,all i wanna do is sk8 back to yr bed
67, (You're Better) Than Ever ,'cause i heard
68, (You're Better) Than Ever ,that you got better
69, (You're Better) Than Ever ,better than ever
70, (You're Better) Than Ever ,than ever
71, (You're Better) Than Ever ,it's not to say that i'm unfortunate (ooh ooh)
72, (You're Better) Than Ever ,or that i haven't been succeeding (ahh ahh ahh ahhhh)
73, (You're Better) Than Ever ,but i'm a hushed and quiet resonance (ah ah ah)
74, (You're Better) Than Ever ,when i wanted to be screaming
75, (You're Better) Than Ever ,all the things i used to do are boring now
76, (You're Better) Than Ever ,all the baddest words i knew came pouring out
77, (You're Better) Than Ever ,when i heard
78, (You're Better) Than Ever ,that you feel better
79, (You're Better) Than Ever ,better than ever
80, (You're Better) Than Ever ,than ever
81, (You're Better) Than Ever ,it's not to say that i'm unfortunate (ooh ooh)
82, (You're Better) Than Ever ,or that i haven't been succeeding (ahh ahh ahh ahhhh)
83, (You're Better) Than Ever ,but i'm a hushed and quiet resonance (ah ah ah)
84, (You're Better) Than Ever ,when i wanted to be screaming
85, (You're Better) Than Ever ,ahhh!
86, (You're Better) Than Ever ,all day long i waited for my phone to ring
87, (You're Better) Than Ever ,i counted every glow star on my ceiling
88, (You're Better) Than Ever ,texted you a picture where you looked pretty and
89, (You're Better) Than Ever ,wondered if you saved the ones you had of me
90, (You're Better) Than Ever ,but i'm sure
91, (You're Better) Than Ever ,you must be better
92, (You're Better) Than Ever ,better than ever
93, (You're Better) Than Ever ,"oh, i'm sure"
94, (You're Better) Than Ever ,i could do better
102, Shape Of My Hands ,met you at that bar where your favourite bands play
103, Shape Of My Hands ,"could barely hear you, forgot to close my five drink tab"
104, Shape Of My Hands ,you couldn't stop talking 'bout the shape of my hands
105, Shape Of My Hands ,singing conor's songs at four in the morning
106, Shape Of My Hands ,while you were online shopping
107, Shape Of My Hands ,you said you need a better mattress
108, Shape Of My Hands ,"i said, ""i'm not staying long enough to see that"""
109, Shape Of My Hands ,are you still thinking about me?
110, Shape Of My Hands ,i know you are but i still wonder
111, Shape Of My Hands ,are you thinking about me?
112, Shape Of My Hands ,i know you are but i still wonder
113, Shape Of My Hands ,now i'm spendin' all my money at 7-eleven
114, Shape Of My Hands ,and sleeping through the weekends
115, Shape Of My Hands ,i tried to catch another fast glance
