Song,lyric
"""Wreck My Life""",your favorite band is full of shit
"""Wreck My Life""","they're the nouveau riche, fronting as socialist"
"""Wreck My Life""",restless 'cause you moved around as a kid
"""Wreck My Life""",got an arrow tattooed on your ribs
"""Wreck My Life""","quit your bookstore job, telling me cash is tight"
"""Wreck My Life""",doing your grocery shopping at the 365
"""Wreck My Life""",microdose psilocybin every night
"""Wreck My Life""",pierced your lower lip just to feel alive
"""Wreck My Life""",i think that you could wreck my life
"""Wreck My Life""",if you tried
"""Wreck My Life""","come on, try"
"""Wreck My Life""","i'd let you wreck my life, ooh"
"""Wreck My Life""",walk into the bar wearing a marlboro hat
"""Wreck My Life""",trying to appeal to the greater mass
"""Wreck My Life""","i hate that i want you, but i can't"
"""Wreck My Life""",take home an eco-tourist drinking draft
"""Wreck My Life""",reading murakami on the weekend
"""Wreck My Life""",telling everybody that i let you
"""Wreck My Life""",wreck my life
"""Wreck My Life""",if you tried
"""Wreck My Life""","come on, try"
"""Wreck My Life""",i'd let you wreck my life
"""Wreck My Life""",i would die
"""Wreck My Life""",swear that i
"""Wreck My Life""",will let you wreck my life
"""Wreck My Life""",if you tried
"""Wreck My Life""","come on, try"
"""Wreck My Life""","i'll let you wreck my life, ooh"
"""Wreck My Life""",if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) 
"""Wreck My Life""",  {
"""Wreck My Life""",     document.getelementbyid('azmxmbanner').style.display='block';
"""Wreck My Life""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"""Wreck My Life""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/dfd9gogocmskm2rjwzjth0h7mhmh9tbw/24pkhf8q53rr2n8ve0b0h4eym+2npkkedcgqccjrqs4jqczdim0i0uipd9sjlz+jw0h2a2hslxlcjt9g8wr2nhjqvb+yg3qvgwbz3vyhx1bquk1uayqtlgholgldpfhr2yuhrllpqm=/?artist_name=illuminati+hotties&track_name=wreck+my+life&s=1b71146d27c1c3dc7de2c377af893a99"" width=""290px"" height=""50px""></iframe>'+"
"""Wreck My Life""",  '</div>');
"""Wreck My Life""",   }
