"","Song","lyric"
"1","""Rot""","sunk in a"
"2","""Rot""","a morning pure"
"3","""Rot""","learning that"
"4","""Rot""","there's no cure"
"5","""Rot""","i knew when"
"6","""Rot""","i first heard"
"7","""Rot""","you're shattered"
"8","""Rot""","that i'm sure"
"9","""Rot""","covered in fog"
"10","""Rot""","i'm carrying on"
"11","""Rot""","it's impossible"
"12","""Rot""","to carry it all"
"13","""Rot""","when i'm dropping the ball"
"14","""Rot""","living is optional"
"15","""Rot""","name unknown"
"16","""Rot""","hammered into the stone"
"17","""Rot""","so let me alone"
"18","""Rot""","let me alone"
"19","""Rot""","chop down the"
"20","""Rot""","deadly forest"
"21","""Rot""","mycelium"
"22","""Rot""","exploring"
"23","""Rot""","fixated"
"24","""Rot""","on the root rot"
"25","""Rot""","start fresh"
"26","""Rot""","and clear the whole lot"
"27","""Rot""","covered in fog"
"28","""Rot""","i'm carrying on"
"29","""Rot""","it's impossible"
"30","""Rot""","to carry it all"
"31","""Rot""","when i'm dropping the ball"
"32","""Rot""","living is optional"
"33","""Rot""","name unknown"
"34","""Rot""","hammered into the stone"
"35","""Rot""","so let me alone"
"36","""Rot""","let me alone"
"37","""Rot""","keep it up"
"38","""Rot""","you've been so tough i"
"39","""Rot""","hate my gut"
"40","""Rot""","but i've been wrong"
"41","""Rot""","covered in fog"
"42","""Rot""","you're carrying on"
"43","""Rot""","it's impossible"
"44","""Rot""","to carry it all"
"45","""Rot""","when i'm dropping the ball"
"46","""Rot""","living is optional"
"47","""Rot""","name unknown"
"48","""Rot""","hammered into the stone"
"49","""Rot""","so let me alone"
"50","""Rot""","let me alone"
"51","""Rot""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"52","""Rot""","  {"
"53","""Rot""","     document.getelementbyid('azmxmbanner').style.display='block';"
"54","""Rot""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"55","""Rot""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_36180552/su_0/rs_0/tr_3vucab2fyrlf1low4kbldjbofh0h9auk9cjmzis0anzp5kov94pgvti0t8csfsfowzcsdbcaanhjeeouvvjq-asvouuuxgezvo-xupcrohyoijafdrsihhqyd-l1_vgh3zpnconu2kydbtdmayihbot4rxtvqu-dd4r4ufde5curp7a9oc_zseyjza1di8q9sl2rjpbjg2aklosiry5gwecwyoznnswbi1-jfvsfxndg9vta3zzgqi-qaxwre-xvtiwsutywosm98xa0onpftggb7tjdqbuhehlehujq5myojzw8wpez4kbl9qrxi6jtlrvoficgow6ziegzmkpeozon9xmjtznrqfgznm7mg29pys-wsmqjs68fze-6md5d4ia0y-nm87yey5nvvlqewpaqifmnalkzn9gcnaygnbyqublpnulhtgaw_4w1tno_6_ow/"" width=""290px"" height=""50px""></iframe>'+"
"56","""Rot""","  '</div>');"
"57","""Rot""","   }"
"58","""Falling In Love With Somebody Better""","i'm falling in love with somebody better"
"59","""Falling In Love With Somebody Better""","i'm finding myself in the drawers of her dresser"
"60","""Falling In Love With Somebody Better""","she wants what i want"
"61","""Falling In Love With Somebody Better""","so i won't upset her"
"62","""Falling In Love With Somebody Better""","i wish that you had met her"
"63","""Falling In Love With Somebody Better""","i say, ""i'm doing ok"""
"64","""Falling In Love With Somebody Better""","like i'm trying to convince her"
"65","""Falling In Love With Somebody Better""","she's pulling each word out of me like a splinter"
"66","""Falling In Love With Somebody Better""","i cave from the weight of her easy pressure"
"67","""Falling In Love With Somebody Better""","i wish that you had met her"
"68","""Falling In Love With Somebody Better""","i've fallen in love with someone better"
"69","""Falling In Love With Somebody Better""","all black on a summer serpent path"
"70","""Falling In Love With Somebody Better""","trudging behind your tracks"
"71","""Falling In Love With Somebody Better""","when you said"
"72","""Falling In Love With Somebody Better""","""forget that, i got nothing to turn it back"""
"73","""Falling In Love With Somebody Better""","now i wish you could see me better"
"74","""Falling In Love With Somebody Better""","i can be cold"
"75","""Falling In Love With Somebody Better""","i'm as hard as acceptance"
"76","""Falling In Love With Somebody Better""","running up tabs and denying the past tense"
"77","""Falling In Love With Somebody Better""","i'm pouring in salt and she's getting sweeter"
"78","""Falling In Love With Somebody Better""","i wish that you could meet her"
"79","""Falling In Love With Somebody Better""","she looks like a pistol but kicks like a shotgun"
"80","""Falling In Love With Somebody Better""","fresh as the morning when i'm so rotten"
"81","""Falling In Love With Somebody Better""","i wanted to lie if i'm being honest"
"82","""Falling In Love With Somebody Better""","i love her but i'm stupid"
"83","""Falling In Love With Somebody Better""","if you were around i'd introduce you"
"84","""Falling In Love With Somebody Better""","all black on a boot hill plot of grass"
"85","""Falling In Love With Somebody Better""","trudging your faded tracks"
"86","""Falling In Love With Somebody Better""","wish i could"
"87","""Falling In Love With Somebody Better""","forget that, i got nothing to turn it back"
"88","""Falling In Love With Somebody Better""","and i want you to see me better"
"89","""Falling In Love With Somebody Better""","i'm falling in love with somebody better"
"90","""Falling In Love With Somebody Better""","falling in love with somebody better"
"91","""Falling In Love With Somebody Better""","falling in love with somebody better"
"92","""Falling In Love With Somebody Better""","i'm falling in love with somebody"
"93","""Falling In Love With Somebody Better""","i'm falling in love with somebody better"
"94","""Falling In Love With Somebody Better""","falling in love with somebody better"
"95","""Falling In Love With Somebody Better""","falling in love with somebody better"
"96","""Falling In Love With Somebody Better""","i wish that you had met her"
"97","""Falling In Love With Somebody Better""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"98","""Falling In Love With Somebody Better""","  {"
"99","""Falling In Love With Somebody Better""","     document.getelementbyid('azmxmbanner').style.display='block';"
"100","""Falling In Love With Somebody Better""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"101","""Falling In Love With Somebody Better""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_36377214/su_0/rs_0/tr_3vucafac1iygwwf3bxghjlw5wzbhvd7fsawqizlrpvtm8sdrn43x6rp6z0p-1uz3pepnmsvqrw0tho6qq_f_59ts_xwyecxfqdn9xyadhpijdpzaeocmawivmoobziwpga1zp15dv6mwepnhbxbfzgf2cwxldp3acyyoyp-oiosuayqcxhtiy6bnr8wyijruwxtm88gcep3cqppka_nliupskwccfg6qo7xcy4hoiwoabtdkm_k_oyl5wzys1yrlmzjmapc6tgtrdqsxsp01lputu2bctvdwiqcvc9x_xwtnhuzmc9panwd6iwt1piumlkjfjewukmdjjjj-9zp8g2zujieqyrsonfeq_ehophm5jghhfhli3zkwbs32ssthijqb-1grssydyxaieemz7wruo8wlkod1yenek7o8mhhkrzjbtmyxiuc6ygu9qz55imzixqgxry46tqulwhwqz9canweubz_c5gurs-ebsi0t/"" width=""290px"" height=""50px""></iframe>'+"
"102","""Falling In Love With Somebody Better""","  '</div>');"
"103","""Falling In Love With Somebody Better""","   }"
"104","""The L""","i'm irritated"
"105","""The L""","clench my jaw and tell a lie"
"106","""The L""","but i know that you're patient"
"107","""The L""","muscle through my rotten vibe"
"108","""The L""","feel like"
"109","""The L""","fallin'"
"110","""The L""","think i"
"111","""The L""","got this"
"112","""The L""","ok ok ok"
"113","""The L""","i love you more today"
"114","""The L""","forget the things i said"
"115","""The L""","i'll take the l instead"
"116","""The L""","impossibly tough"
"117","""The L""","can't control my speaking spell"
"118","""The L""","you know i'm stubborn enough"
"119","""The L""","to give it up or give 'em hell"
"120","""The L""","think i"
"121","""The L""","got this"
"122","""The L""","ok ok ok"
"123","""The L""","i love you more today"
"124","""The L""","we could go separate ways"
"125","""The L""","i'll take the l instead"
"126","""The L""","ok ok ok"
"127","""The L""","i love you more today"
"128","""The L""","forgive the things i've said"
"129","""The L""","i'll take the l instead"
"130","""The L""","all i"
"131","""The L""","do for"
"132","""The L""","you i"
"133","""The L""","need to"
"134","""The L""","do for"
"135","""The L""","me too"
"136","""The L""","think i"
"137","""The L""","got this"
"138","""The L""","ok ok ok"
"139","""The L""","ok ok ok"
"140","""The L""","i love you more today"
"141","""The L""","i'll love you more"
"142","""The L""","ok ok ok"
"143","""The L""","i love you more today"
"144","""The L""","forget the things i said"
"145","""The L""","i'll take the l instead"
"146","""The L""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"147","""The L""","  {"
"148","""The L""","     document.getelementbyid('azmxmbanner').style.display='block';"
"149","""The L""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"150","""The L""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_35847871/su_0/rs_0/tr_3vucaormbgndsjevx1y7zsyju46ccjcjs7ninnykqxbug8me8jh7va4z4bc_ndmp08x7qsu5fsz7vxszyrcsxvw2avcaai1yhvjnace7o9nmxporcvzao1jyykjdivlrptph_10haiqnmputlgzfwsuaot3vgpvvjy4kcb_h-jnbicgm6p6ihwudoqhwe23tllovaqbofmeuthg0zmzczw97shwrjuatvkdrp1rq5hjohvpnbp8370gshuz-pe_e_b82cuwzsrh1vlzqxbqqi22iyb53pc5v6lvprilaexhubkdib0o_k_sbcjyybzzijpx0avghcyoysk35wyili_6tysciuojqb6uvpsrigbm02l2pjao2ngc_lhjt-5p6-plfubbk1tovgm7t2fzdmxrnzw00qlg2dpjdkzzi303ix9oi_bslrr58_wazfhrcjc3f4sji/"" width=""290px"" height=""50px""></iframe>'+"
"151","""The L""","  '</div>');"
"152","""The L""","   }"
"153","""Sleeping In""","i don't like laying around"
"154","""Sleeping In""","but you like sleeping in"
"155","""Sleeping In""","so i like sleeping in now"
"156","""Sleeping In""","i don't like anyone else"
"157","""Sleeping In""","and you like sleeping in"
"158","""Sleeping In""","so i like sleeping in now"
"159","""Sleeping In""","don't be sad"
"160","""Sleeping In""","when i get up"
"161","""Sleeping In""","i'll be right back"
"162","""Sleeping In""","with your favorite mug"
"163","""Sleeping In""","listening to arthur russell"
"164","""Sleeping In""","wait for you to move a muscle"
"165","""Sleeping In""","we're a wild combination"
"166","""Sleeping In""","i don't like laying around"
"167","""Sleeping In""","but you like sleeping in"
"168","""Sleeping In""","so i like sleeping in now"
"169","""Sleeping In""","i don't like anyone else"
"170","""Sleeping In""","and you like sleeping in"
"171","""Sleeping In""","so i like sleeping in now"
"172","""Sleeping In""","you're effortless"
"173","""Sleeping In""","lucky for me"
"174","""Sleeping In""","'cause i'm a wreck"
"175","""Sleeping In""","weary, weak, and horny"
"176","""Sleeping In""","in case you need to hear again, ""you're lovely"""
"177","""Sleeping In""","you're lovely"
"178","""Sleeping In""","love is coexistence"
"179","""Sleeping In""","you forget that you're just living side by side"
"180","""Sleeping In""","lalalalalala"
"181","""Sleeping In""","i don't like laying around"
"182","""Sleeping In""","but you like sleeping in"
"183","""Sleeping In""","so i like sleeping in now"
"184","""Sleeping In""","i don't like anyone else"
"185","""Sleeping In""","and you like sleeping in"
"186","""Sleeping In""","so i like sleeping in now"
"187","""Sleeping In""","while the earth"
"188","""Sleeping In""","is spinning slow"
"189","""Sleeping In""","you're asleep"
"190","""Sleeping In""","you're aglow"
"191","""Sleeping In""","if  ( /android|webos|iphone|ipod|ipad|blackberry|iemobile|opera mini/i.test(navigator.useragent) ) "
"192","""Sleeping In""","  {"
"193","""Sleeping In""","     document.getelementbyid('azmxmbanner').style.display='block';"
"194","""Sleeping In""","     document.write('<div style=""margin-left: auto; margin-right: auto;"">'+"
"195","""Sleeping In""","  '<iframe scrolling=""no"" style=""border: 0px none; overflow:hidden;"" src=""//adv.mxmcdn.net/br/t1.0/m_js/e_0/sn_0/l_36131846/su_0/rs_0/tr_3vucaerez319dbagqbvlr3r3z1mooi3u_3bgrzwt3gcas9ho8xkgqdwunk4epgjfzna90ea90hgic4bo9vrkxqnmwnzoymcpwoppkiduyntjlc6gpsadlc_dlvlrycowmlo1snejgm0sfzcbrji_omedsldtevqtlfu-exjs10m9r3nd_g_msdd8e019g1_1pxjuux3qcmkcg_z6fcbxlbfcykmlz4sa7ja-fb64fd2r8uh_kvvqk0obpf4hqn_gn4uys70sbsj0cr2liwpkcprxktksvbdlzjmu48_xxb3mujfndml0xltu7h_5an8zaicaeaco0sow1bz6xwna1reeihn0nzdag428-cn48j9hnhv046syrh8jocnvl6huyhfpyuv8xkvjwdoqocovcukk6awov1cpod6jcg9dilfrd3bhkryo_jvli3zxg97zmlocxo8lfykzzau/"" width=""290px"" height=""50px""></iframe>'+"
"196","""Sleeping In""","  '</div>');"
"197","""Sleeping In""","   }"
"198","""Didn't""","left out"
"199","""Didn't""","lawless"
"200","""Didn't""","promise"
"201","""Didn't""","i know impossible truth"
"202","""Didn't""","vicious"
"203","""Didn't""","sick of it"
"204","""Didn't""","my way"
"205","""Didn't""","i won't do it"
"206","""Didn't""","wanna"
"207","""Didn't""","finish"
"208","""Didn't""","what if"
"209","""Didn't""","what if i just didn't?"
"210","""Didn't""","didn't"
"211","""Didn't""","do it"
"212","""Didn't""","didn't"
"213","""Didn't""","do it"
"214","""Didn't""","didn't"
"215","""Didn't""","do it"
"216","""Didn't""","what if i just didn't?"
"217","""Didn't""","listen"
"218","""Didn't""","honest"
"219","""Didn't""","there's so much"
"220","""Didn't""","that i'm expected to do"
"221","""Didn't""","i feel"
"222","""Didn't""","so insufficient"
"223","""Didn't""","yeah i'm not"
"224","""Didn't""","engineered quite like you"
"225","""Didn't""","ambition"
"226","""Didn't""","intermittent"
"227","""Didn't""","then i think"
"228","""Didn't""","well, what if i just didn't?"
"229","""Didn't""","didn't"
"230","""Didn't""","do it"
