"","latitude","longitude","salmon_id","Common Name","Age Classbylength","field_length_mm","lab_length_mm","weight_g","Stomach Condition Description","Prey Item Genus Species","prey","prey_life_stage","prey_item_count","prey_weight_g","Prey Item Condition Description","prey_big","Genetic Stock Best Estimate","Genetic Stock Best Estimate Probability","Genetic Stock Second Best Estimate","Genetic Stock Second Best Estimate Probability","insulin_level","hatchery","hatchery_prob"
"1",46.28783,-124.3337,35181,"Chinook salmon","yearling",147,146,27.9,"Mostly to spp or genus","CEPHALOPODA","CEPHALOPODA","Juvenile",1,0.693,"Mostly to spp or genus","Cephalopods","Snake_Sp",0.9968,NA,NA,63.88,"RapidRiver",0.998168
"2",46.28783,-124.3337,35187,"Chinook salmon","yearling",142,142,24,"Most to taxa","CANCER MAGISTER","DUNGENESS CRAB","Megalopa",1,0.019,"Most to taxa","Crabs","Snake_Sp",0.9942,NA,NA,17.6408,"Sawtooth",0.97154
"3",46.26817,-124.3152,35253,"Chinook salmon","yearling",210,203,95.7,"Most to taxa","OSTEICHTHYES","BONY FISHES","Juvenile",0,0.343,"Most to taxa","Fish","Snake_Sp",0.5058,"Mid&UCR_Sp",0.4942,67.12968,NA,NA
"4",46.26817,-124.3152,35254,"Chinook salmon","yearling",140,144,25.6,"Most to taxa","TEUTHIDA","SQUIDS","Juvenile",1,0.099,"Most to taxa","Cephalopods","Snake_Sp",0.9979,NA,NA,18.49273,"Sawtooth",0.988382
"5",46.26817,-124.3152,35255,"Chinook salmon","yearling",140,138,25.1,"Most to taxa","CANCER MAGISTER","DUNGENESS CRAB","Megalopa",2,0.068,"Most to taxa","Crabs","Mid&UCR_Sp",0.6148,"Snake_Sp",0.3852,42.2375,NA,NA
"6",46.26817,-124.3152,35257,"Chinook salmon","yearling",150,150,32.3,"Most to taxa","SEBASTES","ROCKFISH","Juvenile",1,0.445,"Most to taxa","Fish","Snake_Sp",0.999139,NA,NA,56.5916,"RapidRiver",0.999139
"7",46.26817,-124.3152,35261,"Chinook salmon","yearling",136,137,21.2,"Most to genus or taxa","CANCER OREGONENSIS/PRODUCTUS","CANCER OREG/PROD","Megalopa",6,0.069,"Most to genus or taxa","Crabs","Snake_Sp",0.9996,NA,NA,10.06882,"RapidRiver",0.996893
"8",46.26817,-124.3152,35261,"Chinook salmon","yearling",136,137,21.2,"Most to genus or taxa","CANCER","CANCER","Zoea",1,0.003,"Most to genus or taxa","Crabs","Snake_Sp",0.9996,NA,NA,10.06882,"RapidRiver",0.996893
"9",46.26817,-124.3152,35261,"Chinook salmon","yearling",136,137,21.2,"Most to genus or taxa","HYPERIIDAE","HYPERIIDAE","Adult",1,0.001,"Most to genus or taxa","Plankton/Crustaceans","Snake_Sp",0.9996,NA,NA,10.06882,"RapidRiver",0.996893
"10",46.26817,-124.3152,35262,"Chinook salmon","yearling",141,137,24.6,"Some to taxa","OSTEICHTHYES","BONY FISHES","Material",0,0.05,"Some to taxa","Fish","Mid&UCR_Sp",0.5379,"Snake_Sp",0.4621,51.88932,NA,NA
"11",46.26817,-124.3152,35262,"Chinook salmon","yearling",141,137,24.6,"Some to taxa","CANCER","CANCER","Megalopa",0,0.028,"Some to taxa","Crabs","Mid&UCR_Sp",0.5379,"Snake_Sp",0.4621,51.88932,NA,NA
"12",46.26817,-124.3152,35266,"Chinook salmon","yearling",140,138,23.9,"Most to genus or taxa","CANCER OREGONENSIS/PRODUCTUS","CANCER OREG/PROD","Megalopa",2,0.026,"Most to genus or taxa","Crabs","Snake_Sp",0.9841,"Mid&UCR_Sp",0.0159,49.67004,"McCall",0.998734
"13",46.26817,-124.3152,35267,"Chinook salmon","yearling",137,136,21.2,"Most to taxa","CANCER OREGONENSIS/PRODUCTUS","CANCER OREG/PROD","Megalopa",0,0.052,"Most to taxa","Crabs","Snake_Sp",0.9616,"Mid&UCR_Sp",0.0384,25.49665,"McCall",0.999349
"14",46.30917,-124.3385,35277,"Chinook salmon","yearling",134,131,19.2,"Most to taxa","CANCER MAGISTER","DUNGENESS CRAB","Megalopa",2,0.039,"Most to taxa","Crabs","Snake_Sp",0.986,"Mid&UCR_Sp",0.014,12.17949,"Sawtooth",0.954414
"15",46.31533,-124.3245,35281,"Chinook salmon","yearling",168,162,42.5,"Some to taxa","CANCER","CANCER","Megalopa",1,0.003,"Some to taxa","Crabs","Snake_Sp",1,NA,NA,46.95129,"LyonsFerry",0.99938
"16",46.31533,-124.3245,35282,"Chinook salmon","yearling",135,129,19.4,"Some to taxa","UNIDENTIFIED","UNIDENTIFIED MATERIAL","Material",0,0.007,"Some to taxa","Other","Snake_Sp",0.998813,NA,NA,15.2622,"Lookingglass",0.998813
"17",46.33133,-124.3745,35289,"Chinook salmon","yearling",150,146,30.7,"Most to genus or taxa","SEBASTES","ROCKFISH","Juvenile",2,0.889,"Most to genus or taxa","Fish","Snake_Sp",0.6842,"Mid&UCR_Sp",0.3158,34.28452,NA,NA
"18",46.33133,-124.3745,35291,"Chinook salmon","yearling",166,161,45.1,"Most to genus or taxa","PLEURONECTIDAE","RIGHTEYED FLATFISH","Juvenile",1,0.143,"Most to genus or taxa","Fish","Snake_Sp",0.999866,NA,NA,52.29648,"Powell",0.999866
"19",46.3475,-124.4012,35295,"Chinook salmon","yearling",135,129,22.6,"Most to taxa","OSTEICHTHYES","BONY FISHES","Juvenile",1,0.515,"Most to taxa","Fish","Mid&UCR_Sp",0.9245,"Snake_Sp",0.0755,44.77381,NA,NA
"20",46.3475,-124.4012,35296,"Chinook salmon","yearling",151,146,27.6,"Some to taxa","OSTEICHTHYES","BONY FISHES","Material",0,0.064,"Some to taxa","Fish","Snake_Sp",0.9573,"Mid&UCR_Sp",0.0427,36.39648,NA,NA
"21",46.3475,-124.4012,35297,"Chinook salmon","yearling",131,126,19.9,"Most to taxa","OSTEICHTHYES","BONY FISHES","Juvenile",2,0.242,"Most to taxa","Fish","Snake_Sp",0.9935,NA,NA,42.58899,"Lookingglass",0.99549
"22",46.3475,-124.4012,35298,"Chinook salmon","yearling",141,138,27.8,"Some to taxa","OSTEICHTHYES","BONY FISHES","Juvenile",1,0.275,"Some to taxa","Fish","Snake_Sp",0.7654,"Mid&UCR_Sp",0.2346,51.8666,"LyonsFerry",0.996228
"23",46.3475,-124.4012,35299,"Chinook salmon","yearling",142,137,25,"Most to genus or taxa","SEBASTES","ROCKFISH","Juvenile",1,0.631,"Most to genus or taxa","Fish","Snake_Sp",0.9728,"Mid&UCR_Sp",0.0272,18.65365,"Sawtooth",0.999703
"24",46.28683,-124.3235,35345,"Chinook salmon","yearling",141,138,19.8,"Totally digested","EMPTY STOMACH","EMPTY STOMACH","No Food",0,0,"Totally digested","Empty Stomach","Mid&UCR_Sp",0.9336,"Snake_Sp",0.0664,5.888288,NA,NA
"25",46.28683,-124.3235,35346,"Chinook salmon","yearling",142,140,24.6,"Most to taxa","CANCER MAGISTER","DUNGENESS CRAB","Megalopa",3,0.107,"Most to taxa","Crabs","Mid&UCR_Sp",0.9759,"Snake_Sp",0.0241,48.65406,NA,NA
"26",46.28683,-124.3235,35351,"Chinook salmon","yearling",149,138,22.7,"Most to genus or taxa","CANCER OREGONENSIS/PRODUCTUS","CANCER OREG/PROD","Megalopa",7,0.04,"Most to genus or taxa","Crabs","Snake_Sp",0.998,NA,NA,33.97255,"Sawtooth",0.996876
"27",46.28683,-124.3235,35351,"Chinook salmon","yearling",149,138,22.7,"Most to genus or taxa","PAGURIDAE","PAGURIDAE","Megalopa",2,0.003,"Most to genus or taxa","Crabs","Snake_Sp",0.998,NA,NA,33.97255,"Sawtooth",0.996876
"28",46.28683,-124.3235,35353,"Chinook salmon","yearling",133,131,22.6,"Most to taxa","CANCER OREGONENSIS/PRODUCTUS","CANCER OREG/PROD","Megalopa",1,0.017,"Most to taxa","Crabs","Snake_Sp",0.6715,"Mid&UCR_Sp",0.3285,58.85204,NA,NA
"29",46.28683,-124.3235,35359,"Chinook salmon","yearling",142,139,21,"Most to taxa","CANCER OREGONENSIS/PRODUCTUS","CANCER OREG/PROD","Megalopa",1,0.012,"Most to taxa","Crabs","Mid&UCR_Sp",0.7283,"Snake_Sp",0.2717,9.198904,NA,NA
"30",46.28683,-124.3235,35360,"Chinook salmon","yearling",135,131,20.9,"Mostly to spp or genus","SEBASTES","ROCKFISH","Juvenile",1,0.531,"Mostly to spp or genus","Fish","Snake_Sp",0.545,"Mid&UCR_Sp",0.455,38.92592,"McCall",0.9997
"31",46.28683,-124.3235,35363,"Chinook salmon","yearling",151,147,28.9,"Most to genus or taxa","SEBASTES","ROCKFISH","Juvenile",1,0.291,"Most to genus or taxa","Fish","Snake_Sp",0.9893,"Mid&UCR_Sp",0.0107,37.2141,NA,NA
"32",46.28683,-124.3235,35363,"Chinook salmon","yearling",151,147,28.9,"Most to genus or taxa","HYPERIIDAE","HYPERIIDAE","Adult",2,0.01,"Most to genus or taxa","Plankton/Crustaceans","Snake_Sp",0.9893,"Mid&UCR_Sp",0.0107,37.2141,NA,NA
"33",46.28683,-124.3235,35366,"Chinook salmon","yearling",147,143,25.6,"Totally digested","UNIDENTIFIED","UNIDENTIFIED MATERIAL","Material",0,0.069,"Totally digested","Other","Snake_Sp",0.9998,NA,NA,16.90899,"RapidRiver",0.999155
"34",46.28683,-124.3235,35367,"Chinook salmon","yearling",129,129,18.9,"Most to genus or taxa","PLEURONECTIDAE","RIGHTEYED FLATFISH","Juvenile",2,0.093,"Most to genus or taxa","Fish","Snake_Sp",0.992196,NA,NA,43.67218,"Sawtooth",0.992196
"35",46.28683,-124.3235,35367,"Chinook salmon","yearling",129,129,18.9,"Most to genus or taxa","CANCER OREGONENSIS/PRODUCTUS","CANCER OREG/PROD","Megalopa",21,0.16,"Most to genus or taxa","Crabs","Snake_Sp",0.992196,NA,NA,43.67218,"Sawtooth",0.992196
"36",46.28683,-124.3235,35368,"Chinook salmon","yearling",146,142,25.8,"Some to taxa","OSTEICHTHYES","BONY FISHES","Material",1,0.015,"Some to taxa","Fish","Snake_Sp",0.9999,NA,NA,42.10609,"Sawtooth",0.999013
"37",46.28683,-124.3235,35371,"Chinook salmon","yearling",139,138,23.2,"Some to taxa","CANCER OREGONENSIS/PRODUCTUS","CANCER OREG/PROD","Megalopa",1,0.021,"Some to taxa","Crabs","Snake_Sp",0.9985,NA,NA,46.71405,"RapidRiver",0.993498
"38",46.28683,-124.3235,35372,"Chinook salmon","yearling",141,140,23.2,"Most to taxa","CANCER MAGISTER","DUNGENESS CRAB","Megalopa",3,0.084,"Most to taxa","Crabs","Snake_Sp",0.9991,NA,NA,60.95986,"McCall",0.999097
"39",46.28683,-124.3235,35373,"Chinook salmon","yearling",160,144,29.1,"Most to taxa","CANCER MAGISTER","DUNGENESS CRAB","Megalopa",3,0.074,"Most to taxa","Crabs","Snake_Sp",0.9993,NA,NA,48.0096,"McCall",0.996556
"40",46.28683,-124.3235,35398,"Chinook salmon","yearling",190,181,73.1,"Most to taxa","SEBASTES","ROCKFISH","Juvenile",2,1.185,"Most to taxa","Fish","Snake_F",0.8502,"UCR_Su/F",0.1498,64.66582,NA,NA
"41",46.25583,-124.3223,35405,"Chinook salmon","yearling",115,115,12.7,"Some to taxa","CANCER OREGONENSIS/PRODUCTUS","CANCER OREG/PROD","Megalopa",1,0.006,"Some to taxa","Crabs","Snake_Sp",0.9949,NA,NA,14.03,NA,NA
"42",46.25583,-124.3223,35406,"Chinook salmon","yearling",156,151,36,"Most to taxa","PANDALIDAE","PANDALIDAE","Juvenile",1,0.004,"Most to taxa","Plankton/Crustaceans","Snake_Sp",0.964,"Mid&UCR_Sp",0.036,51.64885,NA,NA
"43",46.25583,-124.3223,35406,"Chinook salmon","yearling",156,151,36,"Most to taxa","CANCER MAGISTER","DUNGENESS CRAB","Megalopa",1,0.021,"Most to taxa","Crabs","Snake_Sp",0.964,"Mid&UCR_Sp",0.036,51.64885,NA,NA
"44",46.3475,-124.4012,35301,"Chinook salmon","yearling",175,170,55.7,"Mostly to spp or genus","CANCER OREGONENSIS/PRODUCTUS","CANCER OREG/PROD","Megalopa",11,0.099,"Mostly to spp or genus","Crabs","Mid&UCR_Sp",0.7216,"Snake_Sp",0.2784,63.6007,NA,NA
"45",46.3475,-124.4012,35302,"Chinook salmon","yearling",145,137,29.9,"Most to taxa","SEBASTES","ROCKFISH","Juvenile",1,0.767,"Most to taxa","Fish","Mid&UCR_Sp",0.8849,"Snake_Sp",0.1151,46.07202,NA,NA
"46",46.3475,-124.4012,35304,"Chinook salmon","yearling",137,135,19.1,"Totally digested","EMPTY STOMACH","EMPTY STOMACH","No Food",0,0,"Totally digested","Empty Stomach","Snake_Sp",1,NA,NA,23.5075,"RapidRiver",0.971713
"47",46.3475,-124.4012,35305,"Chinook salmon","yearling",141,140,26.5,"Mostly to spp or genus","SEBASTES","ROCKFISH","Juvenile",1,0.656,"Mostly to spp or genus","Fish","Mid&UCR_Sp",0.991,NA,NA,43.15011,NA,NA
"48",46.3475,-124.4012,35306,"Chinook salmon","yearling",149,143,30.5,"Most to taxa","OSTEICHTHYES","BONY FISHES","Juvenile",1,0.688,"Most to taxa","Fish","Snake_Sp",0.997,NA,NA,45.68402,"Sawtooth",0.986654
"49",46.3475,-124.4012,35307,"Chinook salmon","yearling",170,164,48.9,"Some to taxa","OSTEICHTHYES","BONY FISHES","Material",0,0.092,"Some to taxa","Fish","Snake_Sp",0.9991,NA,NA,59.35156,"RapidRiver",0.998363
"50",46.3475,-124.4012,35308,"Chinook salmon","yearling",140,NA,23.5,"Most to genus or taxa","SEBASTES","ROCKFISH","Juvenile",1,0.527,"Most to genus or taxa","Fish","Snake_Sp",1,NA,NA,32.46895,"RapidRiver",0.998623
"51",46.3475,-124.4012,35319,"Chinook salmon","yearling",132,129,18.4,"Some to taxa","INSECTA","INSECT","Material",1,0.005,"Some to taxa","Other","Snake_Sp",0.9991,NA,NA,NA,"McCall",0.993985
